source_id,weight,panel_id,period_start,period_end,selection,study_id,corpus_id,data_version,method_version,indicator_version,validation_status
muralist.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
mvinfo.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
nacional.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
najboljeknjige.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
nasiskolji.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
net.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
netokracija.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
novilist.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
novosti.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
obris.org,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
ogportal.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
osijeknews.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
