source_id,source_label,source_role,medium,croatian_eligibility,language,ownership,register_id,evidence_url,checked
autoportal.hr,autoportal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,6/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=34,2026-09-21
autorizirano.hr,autorizirano.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,75/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=44,2026-09-21
avioradar.net,avioradar.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,32/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=53,2026-09-21
b-media.hr,b-media.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,26/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=35,2026-09-21
baksinews.com,baksinews.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,23/20,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=30,2026-09-21
baranjainfo.hr,baranjainfo.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,5/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=25,2026-09-21
basketball.hr,basketball.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,34/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=18,2026-09-21
baustela.hr,baustela.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,8/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=34,2026-09-21
bbzinfo.hr,bbzinfo.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,46/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=49,2026-09-21
bebe.hr,bebe.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,52/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=55,2026-09-21
bilten.org,bilten.org,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,52/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=19,2026-09-21
biramdobro.hr,biramdobro.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,10/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=46,2026-09-21
bitno.net,bitno.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,66/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=8,2026-09-21
bjelovar.info,bjelovar.info,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,6/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=25,2026-09-21
bjelovar.live,bjelovar.live,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,54/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=24,2026-09-21
bjelovarac.hr,bjelovarac.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,29/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=18,2026-09-21
bjelovarsko-bilogorske-novosti.com.hr,bjelovarsko-bilogorske-novosti.com.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,24/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=35,2026-09-21
